"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",73.4212345057675,2.99257469983852,48.8632480596652,24.5344701035297,3.97115572294806e-29
"Para_id",6.21938306570205,0.178403489279792,1308105.17038667,34.8613308563047,3.80385263213106e-266
"GL",54.9927230717629,2.5197757589246,1026.43323417448,21.8244511945114,4.78799051213777e-87
"RowID",-5.76790271902509,0.075829193829943,2078368.86239823,-76.0644077525125,0
"IA_LEFT",-64.6319319302339,0.536305747355377,4379128.73434986,-120.513218903482,0
"RowIdInPara",-1.19433594505142,0.120219715102122,4213832.26773661,-9.93460967726367,2.94499947658424e-23
"WordFreq",-1.67046159048022,0.24725929242635,4377004.57322919,-6.75591025958223,1.41958881164233e-11
"Word_len",16.390747894796,0.0845753564287509,4378831.56159355,193.80051810487,0
"Surprisal",1.44194614676801,0.0902989353475168,4379009.47963313,15.9685841391003,2.12326104263905e-57
"Rationale",255.630187207999,1.66378051523694,4378641.02560193,153.644176540675,0
"DNN0",-0.883437477661624,0.173952903471846,4378994.79783226,-5.07860150666934,3.80238814129135e-07
"DNN1",2.20136897134529,0.208288201329444,4379137.65187008,10.5688606329816,4.15813256255058e-26
"DNN2",-5.0574345387197,0.204911288501316,4378564.75386672,-24.6810928558835,1.74372001863849e-134
"DNN3",-0.571707898620518,0.221745203921554,4378582.65129693,-2.57821990514288,0.00993110987415459
"DNN4",0.835202603888774,0.209479196417265,4378505.23279487,3.98704319175027,6.69029341129821e-05
"DNN5",-0.891415212533046,0.216368886347392,4378520.30088703,-4.119886308893,3.79066347049678e-05
"DNN6",1.46631074334688,0.135810979884673,4378596.55483156,10.796702480109,3.57069504372628e-27
"DNN7",0.458587067183019,0.165618349795089,4378532.0473072,2.76893875437357,0.00562394424878054
"DNN8",0.396727703186697,0.150360777196502,4378472.48756625,2.63850527101376,0.00832727004109813
"DNN9",-2.39429100827447,0.20738914909732,4379057.32744949,-11.544919388,7.8395516370906e-31
"DNN10",1.74371149625753,0.158947834224353,4378609.56829352,10.9703381915623,5.31181439741177e-28
"DNN11",2.58908675748359,0.160941297508233,4378844.10302203,16.0871497718051,3.15174132192404e-58
"DNN12",-1.12864480740467,0.185470858464103,4378602.7521087,-6.08529456730322,1.16286919691538e-09
"DNN13",1.02993567486716,0.307489983647994,4378564.86349775,3.34949341324301,0.000809601635079642
"DNN14",2.30173391837956,0.193656928490288,4378486.9391492,11.8856264855765,1.40739605522998e-32
"DNN15",1.94764063401422,0.261259421996047,4378468.45256857,7.45481490823972,9.00105179510889e-14
"DNN16",-0.393760793952532,0.168265003806372,4378941.55876351,-2.34012293135919,0.0192774381315198
"DNN17",-2.19486894065812,0.224858276181007,4378522.95962019,-9.76112144029465,1.65404422417496e-22
"DNN18",-0.903242330921145,0.173348681691414,4378639.24565775,-5.21055206251321,1.88288034579756e-07
"DNN19",-0.816988428718392,0.236953994319403,4378486.15071226,-3.44787785099385,0.000565014804201906
"DNN20",4.69436931170964,0.243739932726446,4378773.06242067,19.2597464814197,1.17876994165285e-82
"DNN21",-0.834296258888092,0.203410065182417,4379055.20656118,-4.10154855483627,4.1040176871991e-05
"DNN22",-2.9811318572644,0.27211700436194,4378500.45678612,-10.9553310137842,6.27013054015602e-28
"DNN23",-0.387643838962677,0.190475319398085,4378444.93826961,-2.03513946157254,0.041836902444935
"DNN24",-0.363573247890805,0.188469881615993,4378600.12030353,-1.92907877255202,0.0537211483666075
"DNN25",-1.35400593325316,0.187105683591936,4378449.37718407,-7.23658366362698,4.60202651286608e-13
"DNN26",0.305789291755709,0.17696845169866,4378509.372368,1.72793110195937,0.0840006479477924
