"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",73.0233011876216,2.98623916255143,48.4704368214764,24.4532662029758,6.41870498970336e-29
"Para_id",6.15369672373677,0.179186658802834,1286139.50499895,34.3423822110992,2.39887690142842e-258
"GL",63.531474175562,2.51296997888272,1025.25941620744,25.2814298258383,5.40324588912042e-110
"RowID",-5.81746531396497,0.0779034038511449,2087802.01339967,-74.67536752413,0
"IA_LEFT",-64.3042817021378,0.539027483549158,4379085.17552376,-119.296851579319,0
"RowIdInPara",-1.14574864019333,0.120829131660284,4208783.11230035,-9.48238743794536,2.48652591278288e-21
"WordFreq",-1.39425202213013,0.247122546306242,4377262.5312141,-5.64194584011098,1.68149329204398e-08
"Word_len",16.5447631965133,0.0845866868568375,4378924.27282108,195.595356802604,0
"Surprisal",1.50795436086503,0.0913282188446795,4378991.95673529,16.5113738113034,3.0518758687103e-61
"Rationale",317.532425560821,1.55203390352291,4378622.48705436,204.591165721357,0
"DNN0",-0.363917597090191,0.168896367208596,4379072.75111944,-2.15467983772993,0.0311869509812303
"DNN1",1.41385745299373,0.218005360802401,4378980.26388195,6.48542516472907,8.84912680805738e-11
"DNN2",-5.27981078604364,0.211436835291922,4378672.84418299,-24.9711020255956,1.28833467698312e-137
"DNN3",0.66566979409472,0.218830325732723,4378577.79231863,3.04194490350374,0.00235056305153179
"DNN4",1.47851334187584,0.217935624878596,4378517.20202195,6.78417465111302,1.1676675167893e-11
"DNN5",-2.60085867812824,0.250107390059791,4378485.58306742,-10.398967729448,2.5080403645334e-25
"DNN6",1.58292433101359,0.135650881115169,4378528.43516816,11.6691046751821,1.8353960901788e-31
"DNN7",-0.246841737637397,0.169737233509843,4378495.04498469,-1.45425804658871,0.145874848857599
"DNN8",0.211511916444868,0.156948993647115,4378458.00934273,1.34764748425487,0.177771860061479
"DNN9",-1.55571963485754,0.213524863136776,4378912.35737993,-7.2858945417565,3.19596201808339e-13
"DNN10",1.89313181615395,0.15854248600115,4378631.05309782,11.9408485630799,7.25653034348927e-33
"DNN11",2.55182283345036,0.16953797956128,4378837.92714105,15.051629375635,3.37831956766735e-51
"DNN12",-0.922181026738758,0.213803694091672,4378470.81721615,-4.31321371998071,1.60901958408733e-05
"DNN13",2.1754686641237,0.29447877471592,4378766.54398064,7.38752280609137,1.49615845869713e-13
"DNN14",1.7198572668227,0.214889580908552,4378479.02113124,8.00344651216293,1.2101347336723e-15
"DNN15",1.34823586345214,0.272107176115502,4378482.97466621,4.95479716007142,7.24084739335627e-07
"DNN16",-0.423395645881208,0.175780940203268,4379191.87165046,-2.40865503046921,0.016011465378016
"DNN17",-0.403614149816426,0.278742536297668,4378528.5430479,-1.4479819089592,0.147622181789754
"DNN18",-0.851958076682675,0.173606116839968,4378617.37840493,-4.9074196934433,9.2285727013608e-07
"DNN19",-1.08495971644587,0.229532725919736,4378485.77343573,-4.72681928948669,2.2807113263639e-06
"DNN20",4.4259304351912,0.239021521846824,4378837.51269306,18.516869949592,1.51985103504883e-76
"DNN21",-0.597344686918569,0.201678050248516,4378818.2771802,-2.96187257950231,0.00305775937173849
"DNN22",-3.58710561637977,0.303006243678905,4378476.50063174,-11.8383884530809,2.47437688315236e-32
"DNN23",-0.116272721337426,0.174652406925082,4378568.44612098,-0.66573786977526,0.505578698463092
"DNN24",-0.747086262221784,0.197434023475423,4378591.85360803,-3.78397932165315,0.000154342705817293
"DNN25",-1.13563034004355,0.206175093336984,4378481.54430577,-5.50808694524225,3.62774547154065e-08
"DNN26",-0.890398160413335,0.184434500483534,4378612.26435081,-4.82772018293197,1.38109602190983e-06
