"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",65.1493270308475,2.92038637199137,44.3043972327389,22.3084615295006,1.00641114387964e-25
"Para_id",5.57000965544393,0.177433310946813,1288766.90231902,31.3921305177786,3.12915240542583e-216
"GL",61.7384050484026,2.50460579430813,1025.85990329472,24.6499489814752,9.66650411149187e-106
"RowID",-5.84534320275625,0.0675737100884716,1764782.38905689,-86.5032154532165,0
"IA_LEFT",-66.4641627850041,0.533405934704624,4379215.23728007,-124.603343271404,0
"RowIdInPara",-1.70908463266078,0.119024507099782,4210928.0583148,-14.3590985949473,9.36728815575946e-47
"WordFreq",-4.59987776270961,0.17826496454627,4379216.91879626,-25.8035995711075,8.28721033956948e-147
"Word_len",16.5009176473209,0.0797921640863767,4379107.94257433,206.798723110936,0
"Surprisal",2.14872747143414,0.0839603252958874,4379115.0877822,25.5921765889036,1.91069099880781e-144
"Rationale",336.545939113597,1.52185064047716,4378637.14611716,221.142555098625,0
"DNN0",-0.672731036881526,0.204038261424282,4378444.60498151,-3.29708277352272,0.000976954823026596
"DNN1",-1.48496522642036,0.191953854472262,4378449.43325124,-7.73605318060932,1.02572249469002e-14
"DNN2",-0.6212690998414,0.199557444941661,4378447.17007484,-3.11323438733655,0.00185050184257185
"DNN3",-0.863203506284707,0.184683446737909,4378445.80685504,-4.67396251007656,2.95452060935202e-06
"DNN4",-2.14710888024818,0.181369559649821,4378435.84921834,-11.8383089444211,2.47672334567441e-32
"DNN5",1.67900853218444,0.187962559056204,4378436.28313937,8.93267542544143,4.15983241020052e-19
"DNN6",-0.977052228467005,0.193275676689899,4378437.89734172,-5.05522601291747,4.29898637826571e-07
"DNN7",0.131144910348049,0.185545020525364,4378442.55364869,0.70680910744313,0.479685151683147
"DNN8",1.6977029211277,0.180540980915088,4378438.04507968,9.4034213867829,5.28411789294435e-21
"DNN9",-0.235838393121618,0.201081472529549,4378439.22434051,-1.17284994064762,0.240856050883833
