"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",69.1806534383858,2.90758339743511,43.6531769816136,23.7931794147032,1.25934518089244e-26
"Para_id",5.40270373905632,0.17704957096995,1286236.36958416,30.5152037898658,1.93915726266602e-204
"GL",61.7909373082825,2.49979577497351,1026.59591624147,24.7183941691946,3.22936181497735e-106
"RowID",-5.96925975650477,0.0667238923894249,1730058.83134642,-89.462103344721,0
"IA_LEFT",-66.9605443591772,0.530656368295009,4385043.26031345,-126.184379119618,0
"RowIdInPara",-1.94359448006185,0.118406258938915,4213583.2636039,-16.4146261986416,1.50957227699689e-60
"WordFreq",-3.9079625899189,0.161975247256599,4385026.51405913,-24.1269123283261,1.33042172224499e-128
"Word_len",16.5366304398491,0.0781197122138362,4384971.25523392,211.683197124224,0
"Surprisal",2.28925519666747,0.0821361248273069,4384995.65326606,27.8714780065492,6.12401519509232e-171
"Rationale",336.683138059872,1.52056195312673,4384461.61043973,221.420204134104,0
"SAR_Atten",2.11519374342203,0.108990418750689,4384385.94368363,19.4071531027002,6.76939975949648e-84
"Para_id:GL",-12.0487279108492,0.31666966259043,1568288.37926199,-38.0482544879352,1.28538233023023e-316
"GL:RowID",2.65509287495841,0.114614828198492,1979803.27898489,23.1653523081696,1.05596624980722e-118
"GL:IA_LEFT",-38.6487755288371,0.876065317267619,4385018.76956508,-44.1163173191009,0
"GL:RowIdInPara",-15.1389283688182,0.196917292262362,4263774.0561445,-76.8796289797032,0
"GL:WordFreq",0.546393336949058,0.266792320851223,4384979.68049036,2.04800998471675,0.04055908048424
"GL:Word_len",-0.57550084154967,0.129709119466276,4385035.71196654,-4.43685720724748,9.1284019580208e-06
"GL:Surprisal",0.479674850196183,0.137825854067045,4385033.11122901,3.48029659197937,0.000500863848206887
"GL:Rationale",-93.2248541249283,2.71535651961693,4384560.23239329,-34.3324544867058,2.78667545027557e-258
