"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",67.5999954478197,2.90662965417723,43.5581631477067,23.2571753166658,3.43644313772585e-26
"Para_id",5.39008656965802,0.177055643063323,1286002.84056478,30.4428962353393,1.75828571658624e-203
"GL",61.6766897470883,2.49970374660888,1026.70265157609,24.6735997538747,6.43903583433076e-106
"RowID",-5.96198429952514,0.0667256027021012,1729794.03936659,-89.3507747864434,0
"IA_LEFT",-66.9430384100216,0.5306783302575,4385044.26918781,-126.146169144572,0
"RowIdInPara",-1.88789459322501,0.118376508606107,4213511.38698392,-15.9482199251787,2.94269820418678e-57
"WordFreq",-4.39044385432512,0.16006280751127,4385028.94779648,-27.429506720454,1.2601623015844e-165
"Word_len",16.5490656611278,0.0781204298455473,4384972.40239582,211.840432699194,0
"Surprisal",2.1903726260653,0.0819814468830197,4384993.78065572,26.7179064208366,3.00178467583467e-157
"Rationale",336.873540755052,1.52059544797471,4384463.07481106,221.540542689204,0
"Para_id:GL",-12.0481322251195,0.316682724940455,1568009.17435284,-38.044804077598,1.46574138949709e-316
"GL:RowID",2.65211010792199,0.114619486005504,1979478.25383727,23.1383877240092,1.97335240689116e-118
"GL:IA_LEFT",-38.5923635146301,0.876098018328572,4385019.7803701,-44.050280570497,0
"GL:RowIdInPara",-15.1234816155403,0.196924079291097,4263714.23562811,-76.7985391628237,0
"GL:WordFreq",0.521804606618018,0.26680074050572,4384980.72972864,1.95578395183214,0.0504906735571476
"GL:Word_len",-0.566027334311731,0.129713756076598,4385036.69792146,-4.36366466774336,1.27904500925154e-05
"GL:Surprisal",0.459755341020719,0.137827934920935,4385034.14748917,3.33571957879552,0.000850796414152512
"GL:Rationale",-93.0260465003649,2.71545352724931,4384561.32976729,-34.2580145698895,3.58471955472312e-257
